있다	To be
쏘다	(1) To shoot  (2) to sting, bite (an insect, animal)
쏟다	To pour .  붓다
쏟아지다	To pour out
쓰다	To write 글씨를 ~
쓰이다	писаться; писанный 글이 ~
쓰이다	To be used, to be utilized/employed 농사에 기계가 ~
쓰다	To wear (a hat) 모자를 ~
씌우다	надевать что-либо на кого-либо 아이에게 모자를 ~
쓰다	Take (medicine) 약을 ~
쓰다듬다	Stroke one’s beard
쓰러지다	падать; повалиться; развалиться
쓸다	마당을 ~ brush, sweep perhaps lightly
씹다	To chew
씻기다	To be carried away, washed away 비에 ~
씻기다	wash,be washed 아이를 ~
씻다	To wash,cleanse
아끼다	жалеть; щадить; беречь
안기다	to be embraced by sb (in their arms) 안다'의 사동사
안다	To hold, embrace
안기다	(1) To fix on a person, lay the blame on a person 안다'의 피동사 2 - no match
안되다	Must not, should not 공부가 ~
앉다	To sit down
앉히다	To place a person in a set
않다	To not be, to not do
알다	To know
알려지다	To become known
알리다	To inform, tell a person
알아내다	To find out (e.g. the answer)
알아듣다	To listen and comprehend
알아보다	To investigate, examine, search
알아주다	acknowledge,recognize, appreciate
앓다	To be ill, sick with sth
앞두다	Have a distance ahead
앞서다	To go before, precede
앞세우다	Make a person go
앞장서다	To be in the lead/ at the head
애쓰다	прилагать усилия; стараться
어기다	нарушать; не соблюдать
어리다	увлажняться 눈물이 ~
어울리다	To be becoming, suiting
어쩌다	иногда; по временам; случайно
어찌하다	Be subject to an attack of vertigo (figuratively), to not know what the hell is going on or what to do.
얹다	Put on, place, lay, set
얻다	Get, obtain
얻어먹다	Go about begging
얼다	Freeze, be frozen
얼리다	Freeze, make ice 물을 ~
업다	носить на спине
없애다	Remove, get rid of, do away with
없어지다	To lose, get lost
엇갈리다	Cross, miss eachother
엎드리다	Prostrate oneself, lie on the ground
여겨지다	To look, appear, think of sth as
여기다	Think, consider as
여쭈다	Tell a superior, inform
열다	Open 문을 ~
열리다	плодоносить 열매가 ~
열리다	Open, be opened, be unlocked 문이 ~
엿보다	Wait for an opportunity
오가다	Come and go, keep going and coming
오다	To come
오래되다	To last for a long time
오르내리다	Go up and down, rise and fall
오르다	Go up, climb, ascend
올라가다	To go up, ascend
올라서다	Stand up
올라오다	Come up
올라타다	Board (a plane), get into
올려놓다	Put a thing on a place
올려다보다	Look up
올리다	Raise, lift up
옮기다	Move, transfer (2)(sickness) communicate, transfer to
외다	To repeat back (an order) 주문을 ~
외우다	читать наизусть; декламировать; заучивать
외치다	To shout,scream
울다	плакать; петь 울음을 ~
울리다	звучать; раздаваться (о звуках) 종이 ~
울리다	заставлять плакать 아기를 ~
움직이다	To move, stir
웃기다	To be funny
웃다	To laugh, smile
이기다	To win 적에게 ~
이끌다	тянуть; привлекать; втягивать
이러다	do/say think this way
이루다	создавать; образовывать; составлять; осуществлять
이루어지다	Get accomplished, achieved
이룩하다	Erect, build
이뤄지다	To make something for a specific purpose
이르다	достигать; доходить; добираться 도착하다
이르다	говорить; называть 말하다
이어지다	Get joined, be connected
익다	созревать; поспевать 감이 ~
익숙해지다	привыкнуть к
익히다	варить (на пару) 고기를 ~
익히다	делать умелым (искусным); приучать 기술을 ~
일어나다	происходить; подниматься; вставать
일어서다	подниматься; вставать (на ноги)
읽다	To read
읽히다	To get a person to read, to get a person to learn 읽다'의 피동사
일으키다	поднимать; возбуждать; вызывать
잃다	To lose, to miss, to be deprived
잃어버리다	To lose
입다	To wear 옷을 ~
